id,ident,Type,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated,is_heliport,elevation_level
31892,VNMG,Airport,small_airport,Meghauli Airport,27.5774,84.22875,600,AS,Nepal,NP,Bagmati Province,NP-P3,P3,Meghauli,0,VNMG,VNMG,MEY,,,https://en.wikipedia.org/wiki/Meghauli_Airport,,150,2024-04-16T13:43:14+00:00,0,Low
30106,VNMA,Airport,small_airport,Manang Airport,28.641399,84.089203,11001,AS,Nepal,NP,Gandaki Province,NP-P4,P4,Ngawal,0,VNMA,VNMA,NGX,,,https://en.wikipedia.org/wiki/Manang_Airport,,150,2019-01-11T11:50:04+00:00,0,High
32236,VNRK,Airport,small_airport,Rukum Chaurjahari Airport,28.627001,82.194021,2500,AS,Nepal,NP,Karnali Province,NP-P6,P6,Rukumkot,0,VNCJ,,RUK,,,https://en.wikipedia.org/wiki/Rukumkot_Airport,"VNRK, Rukumkot Airport",150,2025-02-04T23:45:33+00:00,0,Low
32237,VNRT,Airport,small_airport,Rumjatar Airport,27.303499,86.5504,4500,AS,Nepal,NP,Koshi Province,NP-P1,P1,Rumjatar,0,VNRT,VNRT,RUM,,,https://en.wikipedia.org/wiki/Rumjatar_Airport,,150,2025-02-26T18:11:06+00:00,0,Medium
32463,VNTR,Airport,small_airport,Tumling Tar Airport,27.315001,87.193298,1700,AS,Nepal,NP,Koshi Province,NP-P1,P1,Tumling Tar,1,VNTR,VNTR,TMI,,,https://en.wikipedia.org/wiki/Tumlingtar_Airport,,150,2018-09-15T16:06:18+00:00,0,Low
337590,VNSL,Airport,small_airport,Rukum Salle Airport,28.636161,82.45018,5184,AS,Nepal,NP,Karnali Province,NP-P6,P6,Musikot,1,VNSL,,,,,https://en.wikipedia.org/wiki/Rukum_Salle_Airport,,100,2020-12-09T13:45:22+00:00,0,Medium
32301,VNDT,Airport,small_airport,Silgadi Doti Airport,29.262226,80.935968,2100,AS,Nepal,NP,Sudurpashchim Province,NP-P7,P7,Silgadi Doti,1,VNDT,VNDT,SIH,,,https://en.wikipedia.org/wiki/Doti_Airport,,100,2023-01-17T13:36:48+00:00,0,Low
308291,VNKL,Airport,small_airport,Kangel Danda Airport,27.41063331,86.646595,5976.126984,AS,Nepal,NP,Koshi Province,NP-P1,P1,,0,VNKL,,,,,,,50,2013-03-01T10:51:15+00:00,0,Medium
30701,VNBL,Airport,small_airport,Baglung Airport,28.212799,83.666298,3320,AS,Nepal,NP,Gandaki Province,NP-P4,P4,Baglung,0,VNBL,VNBL,BGL,,,https://en.wikipedia.org/wiki/Baglung_Airport,,50,2024-05-17T08:37:18+00:00,0,Medium
30753,VNBT,Airport,small_airport,Baitadi Airport,29.463421,80.548968,4200,AS,Nepal,NP,Sudurpashchim Province,NP-P7,P7,Baitadi,0,VNBT,VNBT,BIT,,,,,50,2022-09-26T12:40:07+00:00,0,Medium
30760,VNBG,Airport,small_airport,Bajhang Airport,29.539,81.185402,4100,AS,Nepal,NP,Sudurpashchim Province,NP-P7,P7,Bajhang,0,VNBG,VNBG,BJH,,,https://en.wikipedia.org/wiki/Bajhang_Airport,,50,2024-05-17T08:36:27+00:00,0,Medium
30761,VNBR,Airport,small_airport,Bajura Airport,29.502001,81.668999,4300,AS,Nepal,NP,Sudurpashchim Province,NP-P7,P7,Bajura,0,VNBR,VNBR,BJU,,,https://en.wikipedia.org/wiki/Bajura_Airport,,50,2024-05-17T08:37:43+00:00,0,Medium
30706,VNBJ,Airport,small_airport,Bhojpur Airport,27.1474,87.050797,4000,AS,Nepal,NP,Koshi Province,NP-P1,P1,Bhojpur,0,VNBJ,VNBJ,BHP,,,https://en.wikipedia.org/wiki/Bhojpur_Airport,,50,2024-05-17T08:36:51+00:00,0,Medium
30875,VNDL,Airport,small_airport,Darchula Airport,29.668571,80.548199,2132,AS,Nepal,NP,Sudurpashchim Province,NP-P7,P7,Darchula,0,VNDL,VNDL,DAP,,,https://www.wikidata.org/wiki/Q35251244,,50,2024-03-10T17:56:24+00:00,0,Low
32586,VNDR,Airport,small_airport,Dhorpatan Airport,28.492115,83.050644,8950,AS,Nepal,NP,Gandaki Province,NP-P4,P4,Dhorpatan,0,VNDR,,,,,,,50,2017-08-19T09:10:13+00:00,0,High
350902,NP-0015,Airport,small_airport,Khanidanda Airport,27.18117,86.77185,4435,AS,Nepal,NP,Koshi Province,NP-P1,P1,Diktel,0,VNKD,,,,,https://en.wikipedia.org/wiki/Man_Maya_Airport,,50,2024-04-10T18:22:59+00:00,0,Medium
31532,VNGK,Airport,small_airport,Palungtar Airport,28.0385,84.4664,1500,AS,Nepal,NP,Gandaki Province,NP-P4,P4,Gorkha,0,VNGK,VNGK,GKH,,,https://fr.wikipedia.org/wiki/A%C3%A9roport_de_Palungtar,Gorkha Airport,50,2024-05-20T21:58:32+00:00,0,Low
31703,VNJI,Airport,small_airport,Jiri Airport,27.626313,86.230581,6000,AS,Nepal,NP,Bagmati Province,NP-P3,P3,Jiri,0,VNJI,VNJI,JIR,,,,,50,2017-08-19T09:11:15+00:00,0,Medium
308292,NP-0001,Airport,small_airport,Kamal Bazar Airport,29.0531,81.34256,6440,AS,Nepal,NP,Sudurpashchim Province,NP-P7,P7,Kamal Bazar,0,,,,,,,,50,2022-09-26T12:52:12+00:00,0,Medium
308294,VNTH,Airport,small_airport,Thamkharka Airport,27.04787,86.858022,5240,AS,Nepal,NP,Koshi Province,NP-P1,P1,Khotang Bazar,0,VNTH,,,,,https://en.wikipedia.org/wiki/Thamkharka_Airport,,50,2024-05-18T23:52:57+00:00,0,Medium
